Library	Screen type	Worm Strain	Worm Stage	Chromosome no.	RNAi plate no.	Controls	RNAi Stamp date	Culture date	Freeze date	IPTG induction date	Assay date		Enhancer temp	Enhancer Imaging and OD date	Suppressor temp	Suppressor Imaging and OD date	CreationDate	Comments
					9.A1	L4440	21/06/2016	27/06/2016	28/06/2016	29/06/2016	29/06/2016		17.5	5/7/2016	23.3	4/7/2016
					9.A2	L4440	21/06/2016	27/06/2016	28/06/2016	29/06/2016	29/06/2016		17.5	5/7/2016	23.3	4/7/2016
					9.B1	L4440	21/06/2016	27/06/2016	28/06/2016	29/06/2016	29/06/2016		17.5	5/7/2016	23.3	4/7/2016
					9.B2	L4440	21/06/2016	27/06/2016	28/06/2016	29/06/2016	29/06/2016		17.5	5/7/2016	23.3	4/7/2016
					10.A1	L4440	22/06/2016	27/06/2016	28/06/2016	29/06/2016	29/06/2016		17.5	5/7/2016	23.3	4/7/2016
					10.A2	L4440	22/06/2016	27/06/2016	28/06/2016	29/06/2016	29/06/2016		17.5	5/7/2016	23.3	4/7/2016
					10.B1	L4440	22/06/2016	27/06/2016	28/06/2016	29/06/2016	29/06/2016		17.5	5/7/2016	23.3	4/7/2016
					10.B2	L4440	22/06/2016	27/06/2016	28/06/2016	29/06/2016	29/06/2016		17.5	5/7/2016	23.3	4/7/2016
					11.A1	L4440	22/06/2016	27/06/2016	28/06/2016	29/06/2016	29/06/2016		17.5	5/7/2016	23.3	4/7/2016
					11.A2	L4440	22/06/2016	27/06/2016	28/06/2016	29/06/2016	29/06/2016		17.5	5/7/2016	23.3	4/7/2016
					11.B1	L4440	22/06/2016	27/06/2016	28/06/2016	29/06/2016	29/06/2016		17.5	5/7/2016	23.3	4/7/2016
					11.B2	L4440	22/06/2016	27/06/2016	28/06/2016	29/06/2016	29/06/2016		17.5	5/7/2016	23.3	4/7/2016
					12.A1	L4440	22/06/2016	27/06/2016	28/06/2016	29/06/2016	29/06/2016		17.5	5/7/2016	23.3	4/7/2016
					12.A2	L4440	22/06/2016	27/06/2016	28/06/2016	29/06/2016	29/06/2016		17.5	5/7/2016	23.3	4/7/2016
					12.B1	L4440	22/06/2016	27/06/2016	28/06/2016	29/06/2016	29/06/2016		17.5	5/7/2016	23.3	4/7/2016
					12.B2	L4440	22/06/2016	27/06/2016	28/06/2016	29/06/2016	29/06/2016		17.5	5/7/2016	23.3	4/7/2016
					13.A1	L4440	22/06/2016	27/06/2016	28/06/2016	29/06/2016	29/06/2016		17.5	5/7/2016	23.3	4/7/2016
					13.A2	L4440	22/06/2016	27/06/2016	28/06/2016	29/06/2016	29/06/2016		17.5	5/7/2016	23.3	4/7/2016
					13.B1	L4440	22/06/2016	27/06/2016	28/06/2016	29/06/2016	29/06/2016		17.5	5/7/2016	23.3	4/7/2016
					13.B2	L4440	22/06/2016	27/06/2016	28/06/2016	29/06/2016	29/06/2016		17.5	5/7/2016	23.3	4/7/2016
					14.A1	L4440	22/06/2016	27/06/2016	28/06/2016	29/06/2016	29/06/2016		17.5	5/7/2016	23.3	4/7/2016
					14.A2	L4440	22/06/2016	27/06/2016	28/06/2016	29/06/2016	29/06/2016		17.5	5/7/2016	23.3	4/7/2016
					14.B1	L4440	22/06/2016	27/06/2016	28/06/2016	29/06/2016	29/06/2016		17.5	5/7/2016	23.3	4/7/2016
					14.B2	L4440	22/06/2016	27/06/2016	28/06/2016	29/06/2016	29/06/2016		17.5	5/7/2016	23.3	4/7/2016
					15.A1	L4440	22/06/2016	27/06/2016	28/06/2016	29/06/2016	29/06/2016		17.5	5/7/2016	23.3	4/7/2016
					15.A2	L4440	22/06/2016	27/06/2016	28/06/2016	29/06/2016	29/06/2016		17.5	5/7/2016	23.3	4/7/2016
					15.B1	L4440	22/06/2016	27/06/2016	28/06/2016	29/06/2016	29/06/2016		17.5	5/7/2016	23.3	4/7/2016
					15.B2	L4440	22/06/2016	27/06/2016	28/06/2016	29/06/2016	29/06/2016		17.5	5/7/2016	23.3	4/7/2016
														completed on 6/7/2016		completed on 5/7/2016

RNAi Ahringer library	Enhancer and Suppressor	N2, mel-28	L1	V	16.A1	L4440		3/7/2016	4/7/2017	8/8/2016	8/8/2016		17.5	14/08/2016	23.3	13/08/2016	2016-08-13,2016-08-14,2016-08-15
					16.A2	L4440		3/7/2016	4/7/2017	8/8/2016	8/8/2016		17.5	14/08/2016	23.3	13/08/2016
					16.B1	L4440		3/7/2016	4/7/2017	8/8/2016	8/8/2016		17.5	14/08/2016	23.3	13/08/2016
					16.B2	L4440		3/7/2016	4/7/2017	8/8/2016	8/8/2016		17.5	14/08/2016	23.3	13/08/2016
				X	1	L4440		3/7/2016	4/7/2017	8/8/2016	8/8/2016		17.5	14/08/2016	23.3	13/08/2016
					2	L4440		3/7/2016	4/7/2017	8/8/2016	8/8/2016		17.5	14/08/2016	23.3	13/08/2016
					3	L4440		3/7/2016	4/7/2017	8/8/2016	8/8/2016		17.5	14/08/2016	23.3	13/08/2016
					4	L4440		3/7/2016	4/7/2017	8/8/2016	8/8/2016		17.5	14/08/2016	23.3	13/08/2016
					5	L4440		3/7/2016	4/7/2017	8/8/2016	8/8/2016		17.5	14/08/2016	23.3	13/08/2016
					6	L4440		3/7/2016	4/7/2017	8/8/2016	8/8/2016		17.5	14/08/2016	23.3	13/08/2016
					7	L4440		3/7/2016	4/7/2017	8/8/2016	8/8/2016		17.5	14/08/2016	23.3	13/08/2016
					8	L4440		3/7/2016	4/7/2017	8/8/2016	8/8/2016		17.5	14/08/2016	23.3	13/08/2016
														completed on 15/08/2016		completed on 14/08/2016

RNAi Ahringer library	Enhancer and Suppressor	N2, mel-28	L1	I	1.A1	L4440		15/08/2016	16/08/2016	17/08/2016	17/08/2016		17.5	23/08/2016	23.3	22/08/2016	2016-08-22,2016-08-23,2016-08-24
					1.A2	L4440		15/08/2016	16/08/2016	17/08/2016	17/08/2016		17.5	23/08/2016	23.3	22/08/2016
					1.B1	L4440		15/08/2016	16/08/2016	17/08/2016	17/08/2016		17.5	23/08/2016	23.3	22/08/2016
					2.A1	L4440		15/08/2016	16/08/2016	17/08/2016	17/08/2016		17.5	23/08/2016	23.3	22/08/2016
					2.A2	L4440		15/08/2016	16/08/2016	17/08/2016	17/08/2016		17.5	23/08/2016	23.3	22/08/2016
					2.B1	L4440		15/08/2016	16/08/2016	17/08/2016	17/08/2016		17.5	23/08/2016	23.3	22/08/2016
					2.B2	L4440		15/08/2016	16/08/2016	17/08/2016	17/08/2016		17.5	23/08/2016	23.3	22/08/2016
					3.A1	L4440		15/08/2016	16/08/2016	17/08/2016	17/08/2016		17.5	23/08/2016	23.3	22/08/2016
					3.A2	L4440		15/08/2016	16/08/2016	17/08/2016	17/08/2016		17.5	23/08/2016	23.3	22/08/2016
					3.B1	L4440		15/08/2016	16/08/2016	17/08/2016	17/08/2016		17.5	23/08/2016	23.3	22/08/2016
					3.B2	L4440		15/08/2016	16/08/2016	17/08/2016	17/08/2016		17.5	23/08/2016	23.3	22/08/2016
					4.A1	L4440		15/08/2016	16/08/2016	17/08/2016	17/08/2016		17.5	23/08/2016	23.3	22/08/2016
					4.A2	L4440		15/08/2016	16/08/2016	17/08/2016	17/08/2016		17.5	23/08/2016	23.3	22/08/2016
					4.B1	L4440		15/08/2016	16/08/2016	17/08/2016	17/08/2016		17.5	23/08/2016	23.3	22/08/2016
					4.B2	L4440		15/08/2016	16/08/2016	17/08/2016	17/08/2016		17.5	23/08/2016	23.3	22/08/2016
					5.A1	L4440		15/08/2016	16/08/2016	17/08/2016	17/08/2016		17.5	23/08/2016	23.3	22/08/2016
					5.A2	L4440		15/08/2016	16/08/2016	17/08/2016	17/08/2016		17.5	23/08/2016	23.3	22/08/2016
					6.A1	L4440		15/08/2016	16/08/2016	17/08/2016	17/08/2016		17.5	23/08/2016	23.3	22/08/2016
					6.A2	L4440		15/08/2016	16/08/2016	17/08/2016	17/08/2016		17.5	23/08/2016	23.3	22/08/2016
					7.A1	L4440		15/08/2016	16/08/2016	17/08/2016	17/08/2016		17.5	23/08/2016	23.3	22/08/2016
					7.A2	L4440		15/08/2016	16/08/2016	17/08/2016	17/08/2016		17.5	23/08/2016	23.3	22/08/2016
					7.B1	L4440		15/08/2016	16/08/2016	17/08/2016	17/08/2016		17.5	23/08/2016	23.3	22/08/2016
					7.B2	L4440		15/08/2016	16/08/2016	17/08/2016	17/08/2016		17.5	23/08/2016	23.3	22/08/2016
					8.A1	L4440		15/08/2016	16/08/2016	17/08/2016	17/08/2016		17.5	23/08/2016	23.3	22/08/2016
					9.A1	L4440		15/08/2016	16/08/2016	17/08/2016	17/08/2016		17.5	23/08/2016	23.3	22/08/2016
					9.A2	L4440		15/08/2016	16/08/2016	17/08/2016	17/08/2016		17.5	23/08/2016	23.3	22/08/2016
					9.B1	L4440		15/08/2016	16/08/2016	17/08/2016	17/08/2016		17.5	23/08/2016	23.3	22/08/2016
					9.B2	L4440		15/08/2016	16/08/2016	17/08/2016	17/08/2016		17.5	23/08/2016	23.3	22/08/2016
				II	10.A1	L4440		15/08/2016	16/08/2016	17/08/2016	17/08/2016		17.5	23/08/2016	23.3	22/08/2016
					10.B2	L4440		15/08/2016	16/08/2016	17/08/2016	17/08/2016		17.5	23/08/2016	23.3	22/08/2016
				IV	1.A1	L4440		15/08/2016	16/08/2016	17/08/2016	17/08/2016		17.5	23/08/2016	23.3	22/08/2016
					3.A1	L4440		15/08/2016	16/08/2016	17/08/2016	17/08/2016		17.5	23/08/2016	23.3	22/08/2016
					3.A2	L4440		15/08/2016	16/08/2016	17/08/2016	17/08/2016		17.5	23/08/2016	23.3	22/08/2016
					4.A2	L4440		15/08/2016	16/08/2016	17/08/2016	17/08/2016		17.5	23/08/2016	23.3	22/08/2016
														completed on 24/08/2016		completed on 23/08/2016

RNAi Ahringer library	Enhancer and Suppressor	N2, mel-28	L1	II	1.A1	L4440		23/08/2016	24/08/2016	1/9/2016	1/9/2016		17.5	7/9/2016	23.4	6/9/2016	2016-09-06,2016-09-07,2016-09-08,2016-09-09
					1.A2	L4440		23/08/2016	24/08/2016	1/9/2016	1/9/2016		17.5	7/9/2016	23.4	6/9/2016
					1.B1	L4440		23/08/2016	24/08/2016	1/9/2016	1/9/2016		17.5	7/9/2016	23.4	6/9/2016
					1.B2	L4440		23/08/2016	24/08/2016	1/9/2016	1/9/2016		17.5	7/9/2016	23.4	6/9/2016
					2.A1	L4440		23/08/2016	24/08/2016	1/9/2016	1/9/2016		17.5	7/9/2016	23.4	6/9/2016
					2.A2	L4440		23/08/2016	24/08/2016	1/9/2016	1/9/2016		17.5	7/9/2016	23.4	6/9/2016
					2.B1	L4440		23/08/2016	24/08/2016	1/9/2016	1/9/2016		17.5	7/9/2016	23.4	6/9/2016
					2.B2	L4440		23/08/2016	24/08/2016	1/9/2016	1/9/2016		17.5	7/9/2016	23.4	6/9/2016
					3.A1	L4440		23/08/2016	24/08/2016	1/9/2016	1/9/2016		17.5	7/9/2016	23.4	6/9/2016
					3.A2	L4440		23/08/2016	24/08/2016	1/9/2016	1/9/2016		17.5	7/9/2016	23.4	6/9/2016
					3.B1	L4440		23/08/2016	24/08/2016	1/9/2016	1/9/2016		17.5	7/9/2016	23.4	6/9/2016
					3.B2	L4440		23/08/2016	24/08/2016	1/9/2016	1/9/2016		17.5	7/9/2016	23.4	6/9/2016
					4.A1	L4440		23/08/2016	24/08/2016	1/9/2016	1/9/2016		17.5	7/9/2016	23.4	6/9/2016
					4.A2	L4440		23/08/2016	24/08/2016	1/9/2016	1/9/2016		17.5	8/9/2016	23.4	7/9/2016		Bravo crashed at Chrom II, 4.A2, continued the next day
					4.B1	L4440		23/08/2016		1/9/2016	1/9/2016		17.5	8/9/2016	23.4	7/9/2016
					4.B2	L4440		23/08/2016		1/9/2016	1/9/2016		17.5	8/9/2016	23.4	7/9/2016		Vcode crashed at Chrom II, 4.B2; only N2 in this iteration, no mel-28
					5.A1	L4440		23/08/2016	24/08/2016	1/9/2016	1/9/2016		17.5	8/9/2016	23.4	7/9/2016
					5.A2	L4440		23/08/2016		1/9/2016	1/9/2016		17.5	8/9/2016	23.4	7/9/2016
					5.B1	L4440		23/08/2016		1/9/2016	1/9/2016		17.5	8/9/2016	23.4	7/9/2016
					5.B2	L4440		23/08/2016		1/9/2016	1/9/2016		17.5	8/9/2016	23.4	7/9/2016
					6.A2	L4440		23/08/2016	24/08/2016	1/9/2016	1/9/2016		17.5	8/9/2016	23.4	7/9/2016
					7.A1	L4440		23/08/2016	24/08/2016	1/9/2016	1/9/2016		17.5	8/9/2016	23.4	7/9/2016
					7.A2	L4440		23/08/2016	24/08/2016	1/9/2016	1/9/2016		17.5	8/9/2016	23.4	7/9/2016
					7.B1	L4440		23/08/2016	24/08/2016	1/9/2016	1/9/2016		17.5	8/9/2016	23.4	7/9/2016
					7.B2	L4440		23/08/2016	24/08/2016	1/9/2016	1/9/2016		17.5	8/9/2016	23.4	7/9/2016
					8.A1	L4440		23/08/2016	25/08/2016	1/9/2016	1/9/2016		17.5	8/9/2016	23.4	7/9/2016
					8.A2	L4440		23/08/2016	25/08/2016	1/9/2016	1/9/2016		17.5	8/9/2016	23.4	7/9/2016
					8.B1	L4440		23/08/2016	25/08/2016	1/9/2016	1/9/2016		17.5	8/9/2016	23.4	7/9/2016
					8.B2	L4440		23/08/2016	25/08/2016	1/9/2016	1/9/2016		17.5	8/9/2016	23.4	7/9/2016
					9.A1	L4440		23/08/2016	25/08/2016	1/9/2016	1/9/2016		17.5	8/9/2016	23.4	7/9/2016
				III	4.A1	L4440		23/08/2016	25/08/2016	1/9/2016	1/9/2016		17.5	8/9/2016	23.4	7/9/2016
					4.A2	L4440		23/08/2016	25/08/2016	1/9/2016	1/9/2016		17.5	8/9/2016	23.4	7/9/2016
					4.B1	L4440		23/08/2016	25/08/2016	1/9/2016	1/9/2016		17.5	8/9/2016	23.4	7/9/2016
					4.B2	L4440		23/08/2016	25/08/2016	1/9/2016	1/9/2016		17.5	8/9/2016	23.4	7/9/2016
					5.A1	L4440		23/08/2016	25/08/2016	1/9/2016	1/9/2016		17.5	8/9/2016	23.4	7/9/2016
					5.A2	L4440		23/08/2016	25/08/2016	1/9/2016	1/9/2016		17.5	8/9/2016	23.4	7/9/2016
					5.B1	L4440		23/08/2016	25/08/2016	1/9/2016	1/9/2016		17.5	8/9/2016	23.4	7/9/2016
					5.B2	L4440		23/08/2016	25/08/2016	1/9/2016	1/9/2016		17.5	8/9/2016	23.4	7/9/2016
					7.A1	L4440		23/08/2016	25/08/2016	1/9/2016	1/9/2016		17.5	8/9/2016	23.4	7/9/2016
					7.A2	L4440		23/08/2016	25/08/2016	1/9/2016	1/9/2016		17.5	8/9/2016	23.4	7/9/2016
					8.A1	L4440		23/08/2016	25/08/2016	1/9/2016	1/9/2016		17.5	8/9/2016	23.4	7/9/2016
					8.A2	L4440		23/08/2016	25/08/2016	1/9/2016	1/9/2016		17.5	8/9/2016	23.4	7/9/2016
					8.B1	L4440		23/08/2016	25/08/2016	1/9/2016	1/9/2016		17.5	8/9/2016	23.4	7/9/2016
														completed on 9/9/2016
